absolute:0.2848755,2.039098,0.3260858|0.2848755,2.039098,0.3260858|0.2922993,2.03309,0.3512819|0.2897703,2.032706,0.3774956|0.2963738,2.037889,0.4109139|0.3112341,2.044373,0.4428471|0.3383798,2.055683,0.4149414|0.3625405,2.057879,0.446989|0.3781139,2.056813,0.4674764|0.3544351,2.057291,0.397611|0.3864755,2.055244,0.4298424|0.4069865,2.052619,0.4504542|0.3640132,2.048871,0.3796345|0.3965263,2.047397,0.4051035|0.4183536,2.04476,0.4227021|0.3279347,2.03335,0.3366003|0.369679,2.036599,0.3608376|0.3992377,2.035779,0.3744597|0.418406,2.031513,0.3832763|0.313031,2.049589,0.4683505|0.3938451,2.057366,0.4852304|0.4264305,2.052913,0.4684375|0.4380151,2.044047,0.439451|0.4389659,2.029938,0.3940609:
absolute:0.2864299,2.038491,0.3263267|0.2864299,2.038491,0.3263267|0.2938346,2.032508,0.3515342|0.2912953,2.032165,0.3777474|0.2978833,2.037345,0.4111692|0.3127618,2.043794,0.4431009|0.3399253,2.055119,0.4151795|0.3640749,2.057325,0.4472349|0.3796369,2.056262,0.4677311|0.3559899,2.056678,0.3978531|0.3880206,2.054595,0.4300918|0.4085228,2.051949,0.4507096|0.3655619,2.048218,0.3798923|0.398069,2.046709,0.405367|0.4198933,2.044063,0.4229681|0.3294761,2.032691,0.3368661|0.3712158,2.03591,0.3611152|0.4007734,2.035036,0.3747365|0.419943,2.03076,0.3835456|0.3145815,2.049,0.4686048|0.3953609,2.056817,0.4854914|0.4279653,2.052224,0.4686947|0.4395579,2.043356,0.4397137|0.4405122,2.029189,0.394313:
absolute:0.2881714,2.037748,0.3266227|0.2881714,2.037748,0.3266227|0.2955285,2.031798,0.3518519|0.2929495,2.031508,0.3780619|0.2994795,2.036679,0.4114967|0.3143342,2.043086,0.4434479|0.3415666,2.054444,0.4155232|0.3656605,2.056627,0.4476221|0.3811793,2.055533,0.4681493|0.3576593,2.055942,0.3982176|0.389637,2.053809,0.4305056|0.4100983,2.051113,0.4511576|0.3672423,2.047431,0.3802863|0.3997189,2.04588,0.4057973|0.4215204,2.043213,0.4234236|0.3311917,2.03189,0.3372358|0.3729017,2.035079,0.36154|0.402451,2.034152,0.3751758|0.4216156,2.029864,0.3839901|0.3161203,2.048284,0.4689558|0.39687,2.056056,0.4859402|0.4295115,2.051332,0.469175|0.4411676,2.04249,0.4401888|0.442188,2.028294,0.3947515:
absolute:0.2897679,2.037352,0.3271273|0.2897679,2.037352,0.3271273|0.297065,2.031417,0.3523777|0.2944369,2.031158,0.3785831|0.3008874,2.036263,0.4120433|0.3157154,2.042564,0.4440279|0.3430155,2.054057,0.4161147|0.3670375,2.056198,0.4482701|0.3825023,2.055054,0.4688354|0.3591448,2.055508,0.3988392|0.3910684,2.053324,0.4311773|0.4114865,2.050568,0.451864|0.3687489,2.046962,0.3809364|0.4011914,2.045372,0.4064884|0.422963,2.04267,0.4241461|0.3327572,2.031434,0.337832|0.3744244,2.034579,0.3622152|0.4039717,2.033594,0.3758511|0.4231363,2.029292,0.3846583|0.3174856,2.047699,0.4695497|0.398149,2.055517,0.4866664|0.4308683,2.050723,0.469916|0.4425842,2.041909,0.4409401|0.4437161,2.027717,0.3954049:
absolute:0.2907853,2.036982,0.3276801|0.2907853,2.036982,0.3276801|0.2980224,2.031049,0.3529483|0.2953347,2.030816,0.3791479|0.3017,2.035872,0.4126319|0.3164631,2.042102,0.4446605|0.3438817,2.05365,0.4167645|0.3678306,2.055755,0.4489768|0.3832407,2.054559,0.4695801|0.3600478,2.055066,0.3995206|0.3919199,2.052833,0.4319061|0.4122927,2.049998,0.4526269|0.3696738,2.046494,0.3816418|0.4020907,2.044844,0.4072226|0.4238371,2.042089,0.4249032|0.3337435,2.031,0.3384741|0.3753669,2.034091,0.3629388|0.4049134,2.033023,0.3765701|0.4240676,2.028668,0.385374|0.3181661,2.047204,0.4701933|0.398843,2.054967,0.4874516|0.431639,2.050058,0.4707174|0.4434364,2.041272,0.4417201|0.4446452,2.027037,0.3961163:
absolute:0.291799,2.036607,0.3282362|0.291799,2.036607,0.3282362|0.2989744,2.030676,0.3535223|0.2962251,2.03047,0.3797158|0.3025019,2.035477,0.4132238|0.3171941,2.041637,0.4452986|0.3447399,2.053236,0.4174203|0.368613,2.055305,0.449691|0.383966,2.054053,0.4703336|0.3609436,2.054616,0.4002088|0.3927641,2.052336,0.4326417|0.4130884,2.049409,0.4533974|0.3705922,2.046019,0.3823544|0.4029878,2.044306,0.4079579|0.4247113,2.041494,0.4256576|0.334725,2.03056,0.3391215|0.3763032,2.033597,0.3636699|0.4058518,2.032438,0.3772893|0.4249956,2.028024,0.386086|0.3188227,2.046709,0.4708422|0.3995218,2.0544,0.4882468|0.4323967,2.049363,0.4715286|0.4442908,2.040613,0.4424945|0.445572,2.026328,0.3968207:
absolute:0.2918318,2.036768,0.3289998|0.2918318,2.036768,0.3289998|0.298979,2.03081,0.3542874|0.2962117,2.030573,0.3804787|0.3024539,2.03549,0.4140066|0.3171105,2.04156,0.4461147|0.3446977,2.053281,0.4182501|0.3685307,2.055282,0.4505549|0.3838515,2.053954,0.4712167|0.360919,2.054666,0.4010556|0.3927248,2.052317,0.433498|0.4130302,2.049309,0.4542605|0.3705791,2.046078,0.3832026|0.4029731,2.044302,0.4088038|0.424684,2.041415,0.4265069|0.3347434,2.030683,0.3399208|0.3762999,2.03367,0.3645121|0.4058688,2.032416,0.3780789|0.4250143,2.027934,0.3868377|0.3186976,2.04657,0.4716733|0.3993812,2.054225,0.4891538|0.4323246,2.049177,0.472406|0.4442517,2.040453,0.443353|0.4456026,2.026163,0.3975374:
absolute:0.2907392,2.037277,0.3290508|0.2907392,2.037277,0.3290508|0.2978751,2.031305,0.3543386|0.2951025,2.031033,0.380529|0.3013326,2.03592,0.4140634|0.3159412,2.041993,0.4461929|0.3435314,2.053769,0.4183486|0.3673435,2.05575,0.4506699|0.3826503,2.05439,0.47134|0.3597628,2.055182,0.4011658|0.3915595,2.052811,0.4336155|0.4118482,2.049736,0.4543844|0.3694424,2.046616,0.3833126|0.401839,2.04483,0.4089098|0.4235418,2.041902,0.4266161|0.3336491,2.031222,0.3399955|0.3751866,2.034228,0.3646164|0.4047714,2.032961,0.3781475|0.4239182,2.02845,0.3868882|0.3174433,2.047003,0.4717566|0.3981671,2.054632,0.4892887|0.4311273,2.049528,0.4725455|0.443099,2.040887,0.4434713|0.4445091,2.026638,0.3975761:
absolute:0.2891181,2.037992,0.3286689|0.2891181,2.037992,0.3286689|0.2962784,2.032009,0.353947|0.2935227,2.031693,0.3801387|0.2997647,2.036563,0.4136735|0.3143646,2.042652,0.4458039|0.3419032,2.054512,0.4179657|0.3657277,2.056528,0.4502757|0.3810471,2.055171,0.4709368|0.3581244,2.055985,0.4007783|0.3899423,2.05365,0.4332099|0.4102442,2.050578,0.4539663|0.3678184,2.047464,0.3829116|0.4002321,2.045753,0.4084924|0.4219416,2.042842,0.4261932|0.3320469,2.032031,0.3395904|0.3735863,2.035112,0.364199|0.40319,2.033939,0.3776969|0.4223534,2.029469,0.3864225|0.3158435,2.04765,0.4713712|0.3965709,2.055414,0.4888793|0.4295287,2.050368,0.4721216|0.4414985,2.04183,0.4430488|0.4429521,2.027691,0.3971011:
absolute:0.2875269,2.038486,0.3282745|0.2875269,2.038486,0.3282745|0.2946944,2.032499,0.3535497|0.2919171,2.032168,0.3797389|0.2981265,2.037062,0.4132762|0.3126726,2.043205,0.4454207|0.3402427,2.055059,0.4176023|0.3640648,2.057144,0.4499097|0.3793891,2.05582,0.4705693|0.3564655,2.056588,0.4004213|0.3882849,2.054303,0.432855|0.4085858,2.051235,0.4536131|0.3661864,2.048108,0.3825502|0.3986005,2.046463,0.4081348|0.420307,2.04357,0.4258423|0.3304673,2.032623,0.3392043|0.3719911,2.035786,0.3638285|0.4015986,2.034702,0.3773256|0.4207639,2.03026,0.3860613|0.3140773,2.048231,0.4709868|0.394913,2.056093,0.4885112|0.4278627,2.05102,0.4717762|0.4398554,2.042565,0.4427083|0.4413566,2.028507,0.3967555:
